ReporterISO3,ReporterName,PartnerISO3,PartnerName,Year,TradeFlowName,TradeValue in 1000 USD
ARG,Argentina,AUS,Australia,2000,Export,68456.002
ARG,Argentina,BRA,Brazil,2000,Export,6990801.568
ARG,Argentina,CAN,Canada,2000,Export,271588.41
ARG,Argentina,CHN,China,2000,Export,796927.268
ARG,Argentina,DEU,Germany,2000,Export,595469.173
ARG,Argentina,EUN,European Union,2000,Export,5136824.466
ARG,Argentina,FRA,France,2000,Export,531994.955
ARG,Argentina,GBR,United Kingdom,2000,Export,262234.134
ARG,Argentina,IDN,Indonesia,2000,Export,70203.711
ARG,Argentina,IND,India,2000,Export,437132.686
ARG,Argentina,ITA,Italy,2000,Export,734790.196
ARG,Argentina,JPN,Japan,2000,Export,379783.229
ARG,Argentina,KOR,"Korea, Rep.",2000,Export,151050.312
ARG,Argentina,MEX,Mexico,2000,Export,326354.909
ARG,Argentina,RUS,Russian Federation,2000,Export,103442.248
ARG,Argentina,SAU,Saudi Arabia,2000,Export,37511.147
ARG,Argentina,TUR,Turkey,2000,Export,79841.531
ARG,Argentina,USA,United States,2000,Export,3148713.321
ARG,Argentina,ZAF,South Africa,2000,Export,241309.62
AUS,Australia,ARG,Argentina,2000,Export,58270.731
AUS,Australia,BRA,Brazil,2000,Export,330264.553
AUS,Australia,CAN,Canada,2000,Export,837568.413
AUS,Australia,CHN,China,2000,Export,3474454.84
AUS,Australia,DEU,Germany,2000,Export,751902.757
AUS,Australia,EUN,European Union,2000,Export,8407787.245
AUS,Australia,FRA,France,2000,Export,534397.254
AUS,Australia,GBR,United Kingdom,2000,Export,2168863.423
AUS,Australia,IDN,Indonesia,2000,Export,1672714.251
AUS,Australia,IND,India,2000,Export,1059580.691
AUS,Australia,ITA,Italy,2000,Export,1065873.301
AUS,Australia,JPN,Japan,2000,Export,12600200.044
AUS,Australia,KOR,"Korea, Rep.",2000,Export,5230432.979
AUS,Australia,MEX,Mexico,2000,Export,196027.959
AUS,Australia,RUS,Russian Federation,2000,Export,154554.389
AUS,Australia,SAU,Saudi Arabia,2000,Export,917214.008
AUS,Australia,TUR,Turkey,2000,Export,170371.488
AUS,Australia,USA,United States,2000,Export,6343590.179
AUS,Australia,ZAF,South Africa,2000,Export,729906.228
BRA,Brazil,ARG,Argentina,2000,Export,6229543.769
BRA,Brazil,AUS,Australia,2000,Export,338897.81
BRA,Brazil,CAN,Canada,2000,Export,565248.302
BRA,Brazil,CHN,China,2000,Export,1084859.711
BRA,Brazil,DEU,Germany,2000,Export,2524701.057
BRA,Brazil,EUN,European Union,2000,Export,17168982.475
BRA,Brazil,FRA,France,2000,Export,1789951.537
BRA,Brazil,GBR,United Kingdom,2000,Export,1496508.655
BRA,Brazil,IDN,Indonesia,2000,Export,218765.191
BRA,Brazil,IND,India,2000,Export,217155.365
BRA,Brazil,ITA,Italy,2000,Export,2142988.525
BRA,Brazil,JPN,Japan,2000,Export,2471248.374
BRA,Brazil,KOR,"Korea, Rep.",2000,Export,580669.753
BRA,Brazil,MEX,Mexico,2000,Export,1709783.257
BRA,Brazil,RUS,Russian Federation,2000,Export,422815.404
BRA,Brazil,SAU,Saudi Arabia,2000,Export,410235.155
BRA,Brazil,TUR,Turkey,2000,Export,281369.101
BRA,Brazil,USA,United States,2000,Export,13360246.426
BRA,Brazil,ZAF,South Africa,2000,Export,301310.581
CAN,Canada,ARG,Argentina,2000,Export,160052.322
CAN,Canada,AUS,Australia,2000,Export,763662.357
CAN,Canada,BRA,Brazil,2000,Export,651208.793
CAN,Canada,CHN,China,2000,Export,2172771.155
CAN,Canada,DEU,Germany,2000,Export,2023991.988
CAN,Canada,EUN,European Union,2000,Export,17458886.187
CAN,Canada,FRA,France,2000,Export,1211128.172
CAN,Canada,GBR,United Kingdom,2000,Export,3632120.759
CAN,Canada,IDN,Indonesia,2000,Export,446995.347
CAN,Canada,IND,India,2000,Export,358094.453
CAN,Canada,ITA,Italy,2000,Export,1128457.224
CAN,Canada,JPN,Japan,2000,Export,6035271.838
CAN,Canada,KOR,"Korea, Rep.",2000,Export,1501313.288
CAN,Canada,MEX,Mexico,2000,Export,1298327.618
CAN,Canada,RUS,Russian Federation,2000,Export,131365.597
CAN,Canada,SAU,Saudi Arabia,2000,Export,212130.119
CAN,Canada,TUR,Turkey,2000,Export,165999.439
CAN,Canada,USA,United States,2000,Export,224805398.467
CAN,Canada,ZAF,South Africa,2000,Export,159350.357
CHN,China,ARG,Argentina,2000,Export,610303.235
CHN,China,AUS,Australia,2000,Export,3428876.665
CHN,China,BRA,Brazil,2000,Export,1223545.495
CHN,China,CAN,Canada,2000,Export,3157837.461
CHN,China,DEU,Germany,2000,Export,9277789.992
CHN,China,EUN,European Union,2000,Export,68662875.063
CHN,China,FRA,France,2000,Export,3715888.368
CHN,China,GBR,United Kingdom,2000,Export,6310102.446
CHN,China,IDN,Indonesia,2000,Export,3061823.512
CHN,China,IND,India,2000,Export,1560736.215
CHN,China,ITA,Italy,2000,Export,3802021.692
CHN,China,JPN,Japan,2000,Export,41654314.05
CHN,China,KOR,"Korea, Rep.",2000,Export,11292363.934
CHN,China,MEX,Mexico,2000,Export,1335244.842
CHN,China,RUS,Russian Federation,2000,Export,2233350.097
CHN,China,SAU,Saudi Arabia,2000,Export,1144742.927
CHN,China,TUR,Turkey,2000,Export,1077894.816
CHN,China,USA,United States,2000,Export,52156428.118
CHN,China,ZAF,South Africa,2000,Export,1013645.537
DEU,Germany,ARG,Argentina,2000,Export,1180443.0
DEU,Germany,AUS,Australia,2000,Export,3108689.0
DEU,Germany,BRA,Brazil,2000,Export,4623482.0
DEU,Germany,CAN,Canada,2000,Export,3969642.0
DEU,Germany,CHN,China,2000,Export,8609272.0
DEU,Germany,FRA,France,2000,Export,62803030.0
DEU,Germany,GBR,United Kingdom,2000,Export,45763130.0
DEU,Germany,IDN,Indonesia,2000,Export,1145257.0
DEU,Germany,IND,India,2000,Export,1918415.0
DEU,Germany,ITA,Italy,2000,Export,41698240.0
DEU,Germany,JPN,Japan,2000,Export,12137468.0
DEU,Germany,KOR,"Korea, Rep.",2000,Export,4163673.0
DEU,Germany,MEX,Mexico,2000,Export,4551532.0
DEU,Germany,RUS,Russian Federation,2000,Export,6092014.0
DEU,Germany,SAU,Saudi Arabia,2000,Export,2419977.0
DEU,Germany,TUR,Turkey,2000,Export,7638692.0
DEU,Germany,USA,United States,2000,Export,56392629.0
DEU,Germany,ZAF,South Africa,2000,Export,3435665.0
EUN,European Union,ARG,Argentina,2000,Export,5720485.018
EUN,European Union,AUS,Australia,2000,Export,14573609.514
EUN,European Union,BRA,Brazil,2000,Export,15496231.795
EUN,European Union,CAN,Canada,2000,Export,19410877.31
EUN,European Union,CHN,China,2000,Export,23779286.441
EUN,European Union,IDN,Indonesia,2000,Export,4184155.502
